manufacturer,Year,Hand,Gear,Engine_capacity,Engine_type,Km,Test,Color,Curr_ownership,Prev_ownership,Area,City,Pic_num,Price,model,Cre_date,Repub_date,Description
Mitsubishi,2020.0,2.0,G,4200,גז,0,,לבן,P,P,"ראשל""צ והסביבה",ראשון לציון,4.0,0.0,לנסר ספורטבק,2024-01-05,2024-01-05,"2020 מיצובישי אאוטלנדר ספורט ES 4x41-בעליםמנוע 4 צילינדרים חזק בנפח 2.0 ליטר עם תיבת הילוכים אוטומטית, הנעה לכל הגלגליםלְנַקוֹת,ללא תאונות90,000 מיילים מהכביש המהיר של המדינה...Vin # JA4AR3AU7LU030987פועל ונוסע כמו חדש... הרגע יצאה מאחריות היצרן...טעון עם כניסה ללא מפתחמערכת סאונד פרימיום עם בלוטות' ו-USBהכל עובד, ללא רבב מבחינה מכנית. אף לא רעשן, חריקה או דליפה אחת!פועל ונוסע בצורה מושלמת.4 צמיגים שהוחלפו לאחרונה... בלמים ורוטורים טובים.אין בעיות...."
Mitsubishi,2020.0,2.0,G,4200,גז,0,,לבן,P,P,רעננה - כפר סבא,כפר סבא,4.0,0.0,לנסר ספורטבק,2024-01-05,2024-01-05,"2020 מיצובישי אאוטלנדר ספורט ES 4x41-בעליםמנוע 4 צילינדרים חזק בנפח 2.0 ליטר עם תיבת הילוכים אוטומטית, הנעה לכל הגלגליםלְנַקוֹת,ללא תאונות90,000 מיילים מהכביש המהיר של המדינה...Vin # JA4AR3AU7LU030987פועל ונוסע כמו חדש... הרגע יצאה מאחריות היצרן...טעון עם כניסה ללא מפתחמערכת סאונד פרימיום עם בלוטות' ו-USBהכל עובד, ללא רבב מבחינה מכנית. אף לא רעשן, חריקה או דליפה אחת!פועל ונוסע בצורה מושלמת.4 צמיגים שהוחלפו לאחרונה... בלמים ורוטורים טובים.אין בעיות...."
Mitsubishi,2020.0,2.0,G,4200,גז,0,,לבן,P,P,פתח תקוה והסביבה,פתח תקווה,4.0,0.0,לנסר ספורטבק,2024-01-05,2024-01-05,"2020 מיצובישי אאוטלנדר ספורט ES 4x41-בעליםמנוע 4 צילינדרים חזק בנפח 2.0 ליטר עם תיבת הילוכים אוטומטית, הנעה לכל הגלגליםלְנַקוֹת,ללא תאונות90,000 מיילים מהכביש המהיר של המדינה...Vin # JA4AR3AU7LU030987פועל ונוסע כמו חדש... הרגע יצאה מאחריות היצרן...טעון עם כניסה ללא מפתחמערכת סאונד פרימיום עם בלוטות' ו-USBהכל עובד, ללא רבב מבחינה מכנית. אף לא רעשן, חריקה או דליפה אחת!פועל ונוסע בצורה מושלמת.4 צמיגים שהוחלפו לאחרונה... בלמים ורוטורים טובים.אין בעיות...."
Mitsubishi,2020.0,2.0,G,4200,גז,0,,לבן,P,P,נתניה והסביבה,נתניה,4.0,0.0,לנסר ספורטבק,2024-01-05,2024-01-05,"2020 מיצובישי אאוטלנדר ספורט ES 4x41-בעליםמנוע 4 צילינדרים חזק בנפח 2.0 ליטר עם תיבת הילוכים אוטומטית, הנעה לכל הגלגליםלְנַקוֹת,ללא תאונות90,000 מיילים מהכביש המהיר של המדינה...Vin # JA4AR3AU7LU030987פועל ונוסע כמו חדש... הרגע יצאה מאחריות היצרן...טעון עם כניסה ללא מפתחמערכת סאונד פרימיום עם בלוטות' ו-USBהכל עובד, ללא רבב מבחינה מכנית. אף לא רעשן, חריקה או דליפה אחת!פועל ונוסע בצורה מושלמת.4 צמיגים שהוחלפו לאחרונה... בלמים ורוטורים טובים.אין בעיות...."
Mitsubishi,2020.0,2.0,G,4200,גז,0,,לבן,P,P,רעננה - כפר סבא,כפר סבא,4.0,0.0,לנסר ספורטבק,2024-01-05,2024-01-05,"2020 מיצובישי אאוטלנדר ספורט ES 4x41-בעליםמנוע 4 צילינדרים חזק בנפח 2.0 ליטר עם תיבת הילוכים אוטומטית, הנעה לכל הגלגליםלְנַקוֹת,ללא תאונות90,000 מיילים מהכביש המהיר של המדינה...Vin # JA4AR3AU7LU030987פועל ונוסע כמו חדש... הרגע יצאה מאחריות היצרן...טעון עם כניסה ללא מפתחמערכת סאונד פרימיום עם בלוטות' ו-USBהכל עובד, ללא רבב מבחינה מכנית. אף לא רעשן, חריקה או דליפה אחת!פועל ונוסע בצורה מושלמת.4 צמיגים שהוחלפו לאחרונה... בלמים ורוטורים טובים.אין בעיות...."
Mitsubishi,2008.0,3.0,G,1600,בנזין,0,,כחול,P,P,חיפה וחוף הכרמל,חיפה,6.0,0.0,לנסר,2023-11-06,2023-12-17,"לרציניים בלבד!!מוכר את הרכב שלי בצער רב. האוטו ללא תאונות יש לו מצבר+אלטרנטור חדשים עם ביטוח, מזגן עובד קור וחום אפשר להתחבר למערכת גם עם כבל USB ויש רמקולים מעולים עם בס חזק, גלגלי מגנזיום.בגדול הרכב מושלם רק להשים דלק ולנסוע ( אני לרוב בבסיס אז בתיאום מראש)ולא בשבת."
Mitsubishi,2019.0,1.0,G,2000,בנזין,0,,לבן שנהב,P,P,"ראשל""צ והסביבה",ראשון לציון,2.0,0.0,אקליפס,2023-11-28,2023-11-28,מיציבושי אאוטלנדר דגם אינסטיל.7 מקומות. ללא תאונות. גגון.כספת
Mitsubishi,2011.0,2.0,G,1500,בנזין,0,,שחור,P,P,גליל ועמקים,נצרת עילית,4.0,0.0,לנסר איוולושן,2023-11-16,2023-11-16,"רכב כמו חדש , מצויין , חיסכוני , טסט עד 05/2024 170,000 ק״ם"
Mitsubishi,2014.0,5.0,G,1200,בנזין,0,,לבן פנינה,P,P,מודיעין והסביבה,מודיעין מכבים רעות,5.0,0.0,אטראז',2023-10-23,2023-10-25,"רכב במצב מעולה כמו חדש.אמין,לא רואה מוסך,חסכוני בדלק.לאחר טיפול תקופתי מקיף,מצבר חדש,צמיגים חדשים.תא מטען ענק ,מזגן מקפיא.טסט עד פברואר.מחירון לוי יצחק 19,300 ש""ח מחיר נדרש 16,000 ש""ח."
Mitsubishi,2018.0,1.0,G,2000,בנזין,0,,לבן,P,P,"ראשל""צ והסביבה",ראשון לציון,3.0,0.0,אטראז',2023-08-22,2023-08-22,"מיצובישי אאוטלנדר 2018 , 7 מקומות דגם INSTYLE, יד פרטית ראשונה,ללא תאונות. קילומטראז נמוך 48,000.שמורה ומטופלת במוסך היבואן.119,000 ש""ח.שי 0506776388"
Mitsubishi,2009.0,3.0,G,1800,בנזין,0,,שחור,P,P,פתח תקוה והסביבה,פתח תקווה,4.0,0.0,לנסר ספורטבק,2023-07-09,2023-07-09,"הרכב אמין, שמור ומטופל, מצבר חדש ממש, מסך מולטימדיה גדול ואיכותי, מצלמת רוורס, מנוע 1800(!)."
Mitsubishi,2005.0,3.0,G,1600,בנזין,0,,כסוף,P,P,בית שמש והסביבה,בית שמש,7.0,0.0,לנסר קלאסיק,2023-05-15,2023-05-15,"רכב שמור ללא תקלות יש טסט ל 7 חודש מזגן מקפיא יש לרכב שני מפתחות ושני שלטים בשווי כל אחד 300 שקלים מערכת שמע טובה מאוד עם בלוטוס מגיע עם שואב אבק שמתחבר למצת של הרכב, כבלים , מים ירוקים , ועוד הרבה דברים יש חיישני רוורס קילומטר נמוך יחסית לשנתון נוסע נסיעות ארוכות ללא שום בעיה לא מתחמם ואין נזילות האוטו עבר טיפול גדול לפני הטסט צמיגים במצב טוב מאוד רק לשים דלק ולנסוע לא בשבת גמיש ואין ווצאפפ"
Mitsubishi,2019.0,1.0,G,2400,היבריד,0,,כסוף מטאלי,P,P,גדרה יבנה והסביבה,יבנה,1.0,0.0,I-MIEV,2023-05-15,2023-05-15,"מיצובישי אאוטלנדר PHEV פלאג אין, שמורה ונקיה, טופלה במוסך היבואן, ק""מ נמוך, צמיגים חדשים"
Mitsubishi,2012.0,2.0,G,1600,בנזין,0,,לבן,P,P,חדרה וישובי עמק חפר,חדרה,1.0,0.0,לנסר,2023-05-13,2023-05-13,"Mitsubishi Lancer Instyle 2012 1.6יד 2215,000 ק""מטסט: 09ברכב קיימת מערכת מולטימדיה Android 9.1 סאב חברת Pioneer ו2 אמפליפיירים מחברת Logicרכב מעולה לא עושה בעיות נדרש טיפול קוסמטי גיורא-0527724514"
Mitsubishi,2008.0,3.0,G,1600,בנזין,0,,אפור מטאלי,P,P,ירושלים והסביבה,ירושלים,3.0,0.0,לנסר קלאסיק,2023-03-25,2023-03-25,לרכב הוחלף לאחרונה טיימינג משאבת מיםבלמים קדימה תושבות גיר קדימה ואחורהשמנים ופילטרים
Mitsubishi,2007.0,5.0,G,1600,בנזין,0,,אפור מטאלי,P,P,ירושלים והסביבה,ירושלים,4.0,0.0,לנסר קלאסיק,2023-03-25,2023-03-25,רכב במצב מצויןהוחלף לאחרונה טיימינג משאבת מים שמנים ופילטרים בלמים אחורה וקדימה תושבות מנוע
Mitsubishi,2018.0,1.0,G,1400,בנזין,0,,כחול,P,P,ירושלים והסביבה,ירושלים,1.0,0.0,ספייס סטאר,2023-02-17,2023-02-17,תוספותמערכת מולטימדיה
Mitsubishi,2016.0,1.0,G,2000,בנזין,0,,לבן מטאלי,L,P,מודיעין והסביבה,מודיעין מכבים רעות,4.0,1.0,I-MIEV,2022-12-07,2023-01-12,"מיצובישי אאוטלנדר במצב טוב שמור ,לא עבר תאונות, טיפולים לפי הספר, מתחייב בבדיקה לרצינים בלבד פרטים בטלפון ‎0542458443"
Mitsubishi,2008.0,3.0,G,1600,בנזין,0,,אפור מטאלי,P,P,נס ציונה - רחובות,רחובות,6.0,0.0,לנסר,2022-12-27,2022-12-27,"Lancer 2008יד3טסט 3/23200קממצב מכני מצויין+נסיעה שקטה, הכל עובד מעולההנחות לנהגים חדשים, חיילים ועולים חדשים‼️Скидки новым репатриантам ‼️"
Mitsubishi,2018.0,2.0,G,2000,בנזין,0,,,,,רמת גן - גבעתיים,גבעתיים,1.0,0.0,אאוטלנדר,2022-10-29,2022-10-29,"מיצובישי ג'יפ אאוטלנדר 7 מושבים נוסעים, שנת 2018 יד 2 לאחר טיפול במוסך מיצובישי.74,000 ק""מ ללא תאונות.מערכת אנדרואיד מסך גדול, חלון בגג, ג'אנטים מגנזיום, צמיגים חדשים, הנעה ללא מפתח, 2 שלטים, נעילה/פתיחה בקרבה עם שלט לחיצה על לחצן בדלת נוסעים ומאחור, הרמת חלונות אוטומט בנעילה, מערכות בטיחות מתקדמות כולל בלימה אוטונומית, קרוז קונטרול, מצב ECO חסכוני ומערכת stop&amp;start חסכוני מאוד. &lt;br/&gt;&lt;br/&gt;פירוט:&lt;br/&gt; מערכת מולטימדיה אנדרואיד מסך טאצ.הנעה ללא מפתח.חלון בגג.אחרי טיפול במוסך מיצובישי.צמיגים חדשים."
Mitsubishi,2019.0,1.0,G,2360,חשמלי,0,,,,,גליל ועמקים,יוקנעם עילית,1.0,0.0,אאוטלנדר,2022-10-27,2022-10-27,דגם סופרים הכי מפואר פלאג אין phev
Mitsubishi,2015.0,2.0,G,1200,בנזין,0,,,,,יישובי השומרון,עץ אפרים,1.0,0.0,אטראז',2022-10-27,2022-10-27,"רכב במצב מעולה טסט לשנה.יד 1 ליסינג יד 2 פרטי מנכה. שמור מאדגלגלים חדשים מערכת מולטימדיה מצלמת דרך. &lt;br/&gt;&lt;br/&gt;פירוט:&lt;br/&gt; מערכת מולטימדיה, מוביליי"
Mitsubishi,2021.0,1.0,G,2500,היברידי,0,,,,,מודיעין והסביבה,מודיעין מכבים רעות,1.0,0.0,אאוטלנדר,2022-10-26,2022-10-26,מצב מצויין שמור מאוד &lt;br/&gt;&lt;br/&gt;פירוט:&lt;br/&gt; מערכת הגברה
Mitsubishi,2008.0,1.0,G,1800,בנזין,0,,זהב מטאלי,P,P,עמק יזרעאל,גן נר,4.0,0.0,לנסר ספורטבק,2022-10-24,2022-10-24,דגם: לנסר ספורט החדשה מזגן מעולהתא מיטען ענקיושבת מצוין על הכבישמאוד אמינה ונוחהבטיחות מירבית (7 כריות אוויר).
Mitsubishi,2014.0,3.0,G,200,בנזין,0,,,,,באר שבע והסביבה,קרית גת,1.0,0.0,אאוטלנדר,2022-10-24,2022-10-24,רכב מושלם ושמר מטופל בזמן במוסך מורשה מוכר כי קניתי אותו על חשמל יש בעיה בחלון ליד הנהג לכן אני קצת גמיש לעוד פרטים בפרטי &lt;br/&gt;&lt;br/&gt;פירוט:&lt;br/&gt; מותקן ברכב מערכת גז מאוד יוקרתית כולל מערכת מולטימדיה אנדרואיד
Mitsubishi,2019.0,1.0,G,80,בנזין,0,,,,,אילת והערבה,אילת,1.0,0.0,אטראז',2022-10-23,2022-10-23,הרחב במצב טוב ללא תעונות במצב טוב שמור לחלוטין
Mitsubishi,2017.0,1.0,G,2000,בנזין,0,,,,,נס ציונה - רחובות,נס ציונה,1.0,0.0,אאוטלנדר,2022-10-23,2022-10-23,"יד ראשונה פרטית , מצב מצויין ללאתאונות"
Mitsubishi,2021.0,1.0,G,1998,בנזין,0,,,,,חולון - בת ים,חולון,1.0,0.0,אאוטלנדר,2022-10-21,2022-10-21,"דגם הפרימיום היוקרתי. כולל ציפוי ננו קרמי, חימום במושבים, שבעה מושבים, גג נפתח, באחריות יצרן עד מרץ 2023,שמור ביותר, איתוראן אקטיב, מרימי שמשות וסוגר גג. מערכות מיגון מתקדמות, נמכר רק בשל קבלת רכב מהעבודה. עדיין באחריות של כלמוביל עד מרץ 2023, ריפודי עור"
Mitsubishi,2019.0,1.0,G,2500,בנזין,0,,,,,חולון - בת ים,חולון,1.0,0.0,אאוטלנדר,2022-10-20,2022-10-20,רכב שמור מטופל בחברה בזמן &lt;br/&gt;&lt;br/&gt;פירוט:&lt;br/&gt; וו גרירה
Mitsubishi,2017.0,2.0,G,2000,בנזין,0,,,,,nan,גבעת עדה,1.0,0.0,אאוטלנדר,2022-10-19,2022-10-19,"רכב במצב מעולה, דגם Instyle, עבר את כל הטיפולים במוסך מיצובישי מורשה, 7 מושבים, כולל מובילאי, מערכת מולטימדיה מקורית, גג נפתח, בעלות קודמת ליסינג 0 ק""מ והיה ביד פרטית שלי בלבד, ללא תאונות. נמכר בעקבות מעבר לרכב חשמלי. מחיר מציאה. &lt;br/&gt;&lt;br/&gt;פירוט:&lt;br/&gt; גגון"
Mitsubishi,2016.0,2.0,G,2000,בנזין,0,,,,,חיפה וחוף הכרמל,חיפה,1.0,0.0,אאוטלנדר,2022-10-19,2022-10-19,"מיצובישי אאוטלנדר תאריך עלייה לכביש 10.08.2016... 163,000 קילומטר.... קיים תיק טיפולים + טסט לשנה ... 7 מקומות."
Mitsubishi,2020.0,1.0,G,1650,בנזין,0,,,,,nan,רמות מאיר,1.0,0.0,אקליפס,2022-10-19,2022-10-19,רכב במצב מצויין
Mitsubishi,2018.0,1.0,G,2000,בנזין,0,,,,,"ראשל""צ והסביבה",ראשון לציון,1.0,0.0,אאוטלנדר,2022-10-18,2022-10-18,אאוטלנדר אינסטנט כחדש דצמבר 2018 .נסע רק 9000 קמ . התחיבות למנוע גיר ושסי.
Mitsubishi,2021.0,2.0,G,1998,בנזין,0,,,,,חיפה וחוף הכרמל,חיפה,1.0,0.0,אאוטלנדר,2022-10-18,2022-10-18,מכונית חדשה מרהיבה ועוצמתית באחריות החברה- עם כל התוספות המתבקשות.
Mitsubishi,2010.0,2.0,G,1500,בנזין,0,,,,,פרדס חנה - כרכור,פרדס חנה כרכור,1.0,0.0,לנסר הדור החדש,2022-10-17,2022-10-17,"מצב מכני מעולה, טסט עד אוגוסט 2023, יד שניה"
Mitsubishi,2009.0,3.0,G,1500,בנזין,0,,כסוף מטאלי,P,P,חיפה וחוף הכרמל,עתלית,5.0,0.0,לנסר,2022-06-25,2022-10-15,"מיצובישי לנסר הדור החדש 2009 1500 סמ""ק בצבע כסף,טסט לשנה, אוטו במצב מעולה, אמין מאוד, מטופל תמיד בזמן עם חלפים מקוריים. אצלי 8 שנים שימש אותי נאמנה ללא תקלות. כדאי מאוד!!!"
Mitsubishi,2013.0,4.0,G,255,בנזין,239,,,,,אשדוד - אשקלון,אשקלון,1.0,0.0,אאוטלנדר,2022-10-14,2022-10-14,"מיצובישי אאוטלנדר במצב מעולה הדגם המשופר Elite 4 על 4ריפודי עור, חימום במושבים, מערכת אנדרואיד חדשה ברכב, וו גרירה, גגון כל התוספות של הדגם המפואר &lt;br/&gt;&lt;br/&gt;פירוט:&lt;br/&gt; גגון, וו גרירה, מערכת מולטימדיה חדשה"
Mitsubishi,2010.0,2.0,G,2400,בנזין,0,,,,,בית שמש והסביבה,בית שמש,1.0,0.0,גרנדיס,2022-10-13,2022-10-13,"רכב חזק אמין ונוח במיוחד. תא מטען ענק בקיפול המושבים הוא פשוט עצום. בגרסת הבסיס הרכב שותה דלק ולכן עבר הסבה לגז שנותנת נתונים של 1 ל15 כשעבור רכב בגודל הזה זה נתון נדיר! הק""מ הגבוה כמעט לא רלוונטי שכן הרכב עבר טיפולי עומק כולל אוברול מנוע וחידוש כללי עם החלפת המון חלקים רק לאחרונה. בקיצור האופציה המוצלחת ביותר לרכב נוח ענק עם 7 מקומות אמיתיים חסכוני בדלק במחיר כזה. &lt;br/&gt;&lt;br/&gt;פירוט:&lt;br/&gt; גלגלי מגנזיום. מזגן מחודש. מערכת גז חסכונית. חלונות מושחרים."
Mitsubishi,2016.0,2.0,G,2000,בנזין,0,,,,,באר שבע והסביבה,באר שבע,1.0,0.0,אאוטלנדר,2022-10-07,2022-10-07,"למכירה מציאה של ממש** אאוטלנדר 2016 5 מקומות כמו חדש קילומטראז רק 39 אלף פרטית ..עם תוספות מדרכות צד ניקל איכותיות ומולטימדיה 10 כל האפליקציות פתוחות ..רכב חסכוני שקט אמין מטופל רק במיצובישי פשוט לבוא לקחת מחירון לוי יצחק 112,000 דורש מחיר סופי 99..בהצלחה &lt;br/&gt;&lt;br/&gt;פירוט:&lt;br/&gt; מדרכות צד איכותיות ניקל,מולטימדיה ענקית 10 אינץ פתוח כל האפליקציות"
Mitsubishi,2008.0,2.0,G,1800,בנזין,189,,,,,nan,יקנעם עילית,1.0,0.0,לנסר,2022-10-07,2022-10-07,"מיצובישי לנסר 2008 רכב שמור מאוד טיפולים בזמן צבע די שמור נהגת יחידה מוכרת עקב מעבר לרכב חדש יותר הוחלף צמיגים, משולשים, תפוחים, הכל חדש רכב חזק מנוע 1800 יש את כל המסמכים עוד מהבעלים הקודמים שתי מפתחות שתי שלטים הרכב מבפנים מאוד שמור מצב מכני הכי טוב שיש גמישה ""לא בשבת"""
Mitsubishi,2020.0,2.0,G,1200,בנזין,0,,,,,רעננה - כפר סבא,כוכב יאיר,1.0,0.0,ספייס סטאר,2022-10-06,2022-10-06,"טסט אוקטובר 2023! מצב מצוין, ק""מ נמוך, נהגת יחידה ניתן לראות בהרצליה/כוכב יאיר/תל אביב &lt;br/&gt;&lt;br/&gt;פירוט:&lt;br/&gt; מצלמת רוורסcar play"
Mitsubishi,2018.0,2.0,G,2000,בנזין,0,,,,,רמת גן - גבעתיים,גבעתיים,1.0,0.0,אאוטלנדר,2022-10-05,2022-10-05,"ג'יפ מיצובישי אאוטלנדר 7 מקומות , אינסטייל , הנעה בכפתור ללא מפתח , חלון בגג , מערכת מולטימדיה אנדרואיד, טיפולים במוסך מיצובישי."
Mitsubishi,2015.0,2.0,G,2000,בנזין,0,,,,,באר שבע והסביבה,שדרות,1.0,0.0,אאוטלנדר,2022-10-05,2022-10-05,רכב שמור מטופל בזמן2 נהגים בלבדעבר בדיקה לפני שבועיים טסט עד 12/22 &lt;br/&gt;&lt;br/&gt;פירוט:&lt;br/&gt; מצלמת רוורס
Mitsubishi,2017.0,2.0,G,1998,בנזין,0,,,,,פתח תקוה והסביבה,פתח תקווה,1.0,0.0,אאוטלנדר,2022-10-04,2022-10-04,מטופל בחברה
Mitsubishi,2020.0,1.0,G,1000,בנזין,0,,שחור,L,P,נתניה והסביבה,נתניה,4.0,0.0,ספייס סטאר,2022-10-02,2022-10-02,מציאה!! רכב שמור מאוד במצב מדהים נהגת יחידה עם מספר שלא תמצאו באף רכב שמור היטב מטופל רק בחברה.. לרצינים לפנות!! קילומטר נמוך!!0504055111
Mitsubishi,2017.0,2.0,G,2000,בנזין,0,,,,,nan,ניר עציון,1.0,0.0,אאוטלנדר,2022-09-28,2022-09-28,"רכב יד שניה, ללא תאונות, 7 מקומות, עשה טסט בחודש אוגוסט, צמיגים חדשים."
Mitsubishi,2021.0,1.0,G,2000,בנזין,0,,,,,באר שבע והסביבה,באר שבע,1.0,0.0,אאוטלנדר,2022-09-26,2022-09-26,רכב שמור מאוד
Mitsubishi,2010.0,1.0,G,1998,בנזין,0,,,,,פתח תקוה והסביבה,פתח תקווה,1.0,0.0,אאוטלנדר,2022-09-22,2022-09-22,"רכב שמור, צמיגים חדשים, מצבר חדש, טסט לשנה."
Mitsubishi,1990.0,2.0,G,1468,בנזין,0,,,,,ראש העין והסביבה,אלעד,1.0,0.0,לנסר,2022-09-21,2022-09-21,אספנות נוסע מעולה טסט פעם בשנה ביטוח ממש זול מזגן מחבר חדש
Mitsubishi,2022.0,1.0,G,1998,בנזין,300,,,,,רמלה - לוד,לוד,1.0,0.0,ASX,2022-09-21,2022-09-21,"רכב חדש מהניילון חודש על הכביש קילומטר נמוך,תוספות גג חשמלי נפתח,חלונות חשמליים,מערכת מולטימדיה,חיישני קורס,משענת יד מושקעת. &lt;br/&gt;&lt;br/&gt;פירוט:&lt;br/&gt; גג חשמלי נפתח,מערכת מולטימדיה."
